S. No.,Year,Region,Category,Motor Cycles,Scooters,Moped,Cars,Jeeps,Stn. Wagons,Taxis meter fited,Luxury /Turist Cabs/,Auto-rikshaws,Stage carriages,Contract carriages /Mini Bus,School Buses,Private Service Vehicles,Ambulances,Articulated/Multi.,Trucks & Lorries,Tanker,Delivery Van (4 wheelers),Delivery Van (3 wheelers),Tractors,Trailors,Others
825,2016,Nashik Region,Malegaon,21530,0,1719,2198,0,0,16,18,154,0,9,29,0,1,46,95,1,522,136,1491,382,42
826,2016,Dhule Region,Dhule,19228,3888,471,2299,250,0,5,49,79,0,19,20,0,6,389,1017,14,194,221,765,210,41
827,2016,Dhule Region,Jalgaon,32189,9063,986,2963,729,2,1,37,237,0,58,26,0,1,0,237,25,65,657,1569,427,29
828,2016,Dhule Region,Nandurbar,15418,2343,77,2173,577,32,1,3,4,0,10,10,0,2,0,7,9,92,210,867,235,5
829,2016,Aurangabad Region,Aurangabad,59982,5389,467,8703,8,0,38,147,1277,345,169,106,8,14,0,967,15,1515,433,1567,212,113
830,2016,Aurangabad Region,Jalna,21797,2531,398,1134,328,0,19,3,46,0,0,31,1,1,0,134,4,550,126,1271,140,75
831,2016,Aurangabad Region,Beed,9173,4817,156,489,486,0,0,49,21,0,18,5,6,2,58,129,18,153,132,618,157,39
832,2016,Latur Region,Latur,21857,1194,217,1561,846,0,20,181,178,2,40,68,1,8,2,267,13,764,217,456,65,44
833,2016,Latur Region,Osmanabad,9939,2806,0,937,240,0,0,202,49,0,1,40,1,0,23,220,8,478,138,943,0,14
834,2016,Latur Region,Ambejogai,7405,1828,265,471,216,0,19,19,0,0,7,18,0,1,6,123,3,184,28,210,26,20
835,2016,Nanded Region,Nanded,26795,2,949,2205,0,0,4,29,168,12,15,31,0,12,0,532,3,478,365,855,77,25
836,2016,Nanded Region,Parbhani,16758,237,168,677,380,0,0,31,7,0,27,13,3,6,0,112,0,11,639,658,111,50
837,2016,Nanded Region,Hingoli,7502,673,23,420,73,0,0,2,0,0,2,0,0,3,0,45,0,158,0,456,62,0
838,2016,Amrawati Region,Amrawati,41648,0,0,3682,137,0,7,53,503,25,27,131,0,11,221,189,21,520,271,594,358,37
839,2016,Amrawati Region,Buldhana,31279,0,0,1394,434,0,2,4,12,0,0,6,0,9,21,160,1,817,295,1684,813,0
840,2016,Amrawati Region,Yawatmal,31657,0,0,2061,600,0,58,11,0,0,61,106,0,13,0,168,0,544,385,851,200,9
841,2016,Amrawati Region,Akola,23870,0,0,2540,76,0,0,39,238,4,17,43,3,3,0,130,0,733,230,925,351,34
842,2016,Amrawati Region,Washim,15159,211,11,694,280,0,0,7,1,0,2,12,0,1,2,46,3,250,106,1066,347,33
843,2016,Nagpur(U) Region,Nagpur,12266,0,0,4321,685,0,38,631,564,40,15,98,0,18,0,58,33,271,196,34,3,20
844,2016,Nagpur(U) Region,Wardha,19550,0,0,1517,140,0,0,21,20,0,14,65,2,6,7,59,11,242,211,455,49,37
845,2016,Nagpur(U) Region,Nagpur(East),30014,0,0,3773,1502,0,32,1053,1320,0,43,126,2,25,29,129,276,575,612,179,7,29
846,2016,Nagpur(R) Region,Nagpur,30488,10440,1009,4133,1309,0,0,440,142,137,104,117,15,29,125,1729,27,1070,169,797,207,111
847,2016,Nagpur(R) Region,Gadchiroli,8218,2891,0,541,482,0,1,6,1,0,0,14,7,4,0,35,5,246,2,606,198,18
848,2016,Nagpur(R) Region,Chandrapur,20417,11923,583,1779,170,3,0,100,336,3,20,54,3,12,84,353,135,709,88,942,203,79
849,2016,Nagpur(R) Region,Gondia,10232,6345,917,765,345,0,0,13,6,0,3,64,0,5,0,75,3,207,32,787,153,36
850,2016,Nagpur(R) Region,Bhandara,10267,5920,0,1456,56,0,0,10,1,1,1,33,0,6,0,130,1,239,1,807,247,40
